PDB	HS	Eelec	Evdw	BSA	Edesolv
2bdd_1	-110.4603693	-169.635	-69.807	1704.92	-6.78053
2qg8_1	-109.754082	-197.466	-68.9921	1841.82	-1.47718
3nfd_1	-139.0649486	-221.684	-81.9766	2071.38	-12.7764
3hqj_1	-121.153047	-76.6598	-76.1386	1734.68	-29.8751
3qmn_14	-86.35374	-119.145	-63.64	1787.32	1.11526
2jbz_1	-97.46935	-149.21	-59.9146	1735.63	-7.71275
2wat_4	-71.62262	-28.5891	-45.9916	1285.26	-19.9132
1fte_1	-111.1485	-121.455	-56.5516	1551.85	-30.3059
1f80_6	-65.63644	-52.0058	-48.26	1404.81	-6.97528
3hyk_3	-117.0295625	-231.099	-56.5789	1741.44	-14.2579
4jm7_2	-97.1939828	-147.679	-55.6405	1595.49	-12.0391
1hnk_1	-151.237186	-274.944	-115.544	2498.2	-20.9476
1zow_1	-346.081	-602.807	-185.67	4166.15	-39.8496
2ebd_1	-395.0022	-957.546	-166.764	4130.82	-36.729
1egd_4	-125.8635	-293.7	-128.502	3439.29	-35.9869
2jif_1	-262.346	-374.29	-130.758	3476.62	-56.73
3d6b_3	-129.849853	-267.961	-62.9964	2288.86	-13.6571
2r0n_2	-271.2216	-450.764	-132.406	4219.15	-48.6628
3pfd_1	-315.5798534	-535.145	-152.946	3919.3	-55.6292
1rx0_1	-256.94	-403.965	-143.432	3814.22	14.042
3mpi_4	-297.2543	-406.925	-156.016	4079.05	-59.8533
1jqi_3	-287.8375	-499.196	-133.293	3475.42	-54.7053
1ws9_2	-335.8657	-775.944	-141.04	3884.2	-39.6369
4kto_4	-254.6885169	-447.875	-130.216	3551.9	-34.9819
2eba_8	-283.7943652	-579.772	-120.664	4005.15	-47.1807
4iv6_1	-274.2078	-412.688	-144.579	3826.47	-47.0912
3oib_1	-297.8253	-479.711	-127.521	3704.79	-74.3621
2pg0_1	-220.7306	-325.117	-130.663	3751.95	-25.0442
3nf4_2	-242.303677	-463.145	-120.762	3179.66	-29.0755
1ukw_2	-286.9244	-429.165	-141.009	3807.6	-60.0824
4m9a_1	-268.7519243	-359.36	-136.239	3680.77	-60.6511
4hr3_2	-306.8575	-350.076	-146.036	3557.57	-90.8063
2jif_3	-273.8097	-457.984	-125.528	3460.88	-56.6849
3pfd_4	-234.436299	-235.811	-101.23	2760.34	-86.0793
1rx0_3	-262.2299	-520.175	-130.176	3948.42	-28.0189
3mpi_6	-238.0323	-292.558	-133.629	3722.28	-45.8917
2vig_5	-215.756325	-543.342	-74.8182	3120.48	-32.3306
1ws9_3	-276.1839	-519.62	-122.589	3752.62	-49.6709
4kto_2	-266.685832	-284.492	-149.079	3796.95	-60.8385
2eba_2	-334.405388	-660.178	-146.247	4073.2	-56.2609
4iv6_2	-229.7007	-161.766	-139.319	3552.78	-58.0285
3oib_2	-254.2042	-417.598	-114.809	2884.21	-55.8756
2pg0_2	-268.7294	-533.591	-125.674	3262.07	-36.3372
3nf4_1	-214.731682	-530.246	-88.473	3206.88	-20.4412
1ukw_1	-332.8832	-237.301	-176.993	4090.23	-108.43
4m9a_3	-191.518732	-158.713	-97.5436	2911.26	-62.4584
3cnc_3	-126.4486	-293.528	-76.1189	2116.92	8.3759
2j2j_4	-141.3455	-286.719	-82.6112	2358.65	-1.3905
3f0y_5	-152.3806	-294.143	-74.426	2220.32	-19.126
2qlk_1	-120.2678044	-114.388	-69.3473	2095.51	-28.0472
1knb_1	-112.67897	-224.628	-75.2438	2090.54	7.49043
1qhv_1	-170.82302	-261.993	-125.869	3059.65	7.44458
1uxe_1	-144.83124	-303.97	-81.3066	2161.18	-2.73064
1h7z_2	-114.45298	-193.301	-67.2891	1965.31	-8.50368
2wbv_5	-143.025	-251.79	-81.5503	2430.65	-11.1167
2bzu_1	-71.13466	-49.7851	-51.661	1482.11	-9.51664
3hzz_2	-297.9763	-517.981	-174.217	3273.79	-20.1631
4a0s_2	-312.2934	-225.464	-178.841	3297.78	-88.3596
3cos_1	-240.1191	-149.745	-144.876	3219.73	-65.2941
3uko_1	-265.3788	-582.234	-114.801	2937.71	-34.131
1axe_1	-250.5318	-274.776	-163.268	3440.69	-32.3086
1m6w_1	-323.9134	-826.288	-118.489	3267.37	-40.1668
1cdo_1	-359.6097	-897.14	-140.137	3674.95	-40.0447
1d1t_1	-276.0416	-347.351	-159.749	3573.45	-46.8224
1p0f_1	-211.95767	-310.638	-141.576	3242.17	-8.25407
1f8f_1	-208.2381886	-98.508	-134.38	3056.37	-54.2281
1vj0_2	-285.7155	-201.217	-200.604	3729.97	-44.8681
1yqd_1	-220.5333	-146.609	-131.397	2790.56	-59.8145
2cf5_1	-256.425	-182.997	-161.676	3363.7	-58.1496
2c0c_1	-166.8768	-185.331	-96.7791	2529.99	-33.0315
3qe3_1	-252.877726	-640.756	-124.541	3048.28	-0.185526
1e3j_1	-229.20199	-548.586	-127.203	3100.29	7.71821
2dfv_2	-267.2431	-395.538	-140.372	3558.74	-47.7635
1uuf_1	-271.6898867	-900.558	-91.7028	2619.01	0.09353229
3two_1	-294.6264	-305.98	-142.516	3173.88	-90.9144
1jvb_1	-286.8477	-643.67	-166.01	3875.31	7.8963
4w6z_2	-209.05157	-282.922	-146.855	3098.63	-5.61217
1zsy_1	-147.782058	-211.239	-105.257	2219.98	-0.277258
3pi7_1	-194.945	-228.6	-107.885	2406.14	-41.34
3jv7_2	-319.5149	-446.623	-134.753	3060.66	-95.4373
2h6e_1	-281.890763	-622.726	-156.835	3990.39	-0.640634
3meq_2	-261.4305459	-298.956	-158.933	3234.17	-42.7343
1h2b_1	-273.5138	-590.713	-142.581	3509.07	-12.7902
2eih_1	-233.6166	-184.76	-141.183	2826.13	-55.4816
4hfn_1	-151.2001164	-249.837	-94.4538	2278.88	-6.84763
1llu_4	-289.1534	-374.013	-149.339	3355.02	-65.0118
3s1l_2	-258.2093	-302.501	-144.572	3245.67	-53.1371
4eex_1	-283.0814	-508.722	-127.38	3419.96	-53.957
3uog_1	-323.56818	-815.596	-165.408	3994.32	4.95902
1rjw_1	-259.7804	-285.276	-159.139	3380.72	-43.5862
4gkv_2	-212.58125	-367.603	-136.034	3062.06	-3.02665
3qwa_1	-197.0833	-662.27	-77.9253	2392.46	13.296
4jbh_1	-259.53843	-385.562	-189.251	3438.33	6.82497
1yb5_1	-164.8367	-278.842	-124.34	2433.23	15.2717
4jxk_1	-161.56052	-81.0341	-110.885	2433.69	-34.4687
1o89_1	-201.3083404	-203.243	-123.828	2609.77	-36.8935
4eye_1	-160.0781736	-486.375	-70.6478	1925.58	7.77505
3ip1_1	-134.1912	-503.84	-132.847	3605.28	15.9775
1y9a_2	-364.9199	-508.031	-210.524	4077.86	-52.7897
1pl8_1	-262.97726	-638.876	-128.556	3143.24	-6.64606
1jqb_1	-312.7421	-292.684	-180.405	3682.97	-73.8003
4ej6_1	-280.4631	-462.049	-151.354	3536.64	-36.6993
4a2c_1	-311.0438	-394.518	-160.362	3671.73	-71.7782
4ilk_1	-270.3208264	-480.2	-154.557	3426.54	-19.7318
3oec_1	-255.056758	-261.545	-150.943	2958.68	-51.8344
3kvo_1	-231.3714852	-448.96	-110.851	3560.62	-30.7306
1yxm_3	-247.4326749	-583.903	-119.541	3108.1	-11.1113
1w6u_3	-236.2465298	-456.317	-116.349	2997.97	-28.7168
2c07_2	-336.6828034	-554.664	-158.844	3549.88	-66.9244
3r3s_3	-270.4365	-228.412	-140.753	3275.46	-84.0011
2bel_2	-242.3152	-355.352	-130.236	3539.65	-41.0088
3i3o_6	-255.3557	-298.219	-139.877	3323.69	-55.8349
5ej2_1	-247.2412	-355.294	-146.991	3050.74	-29.1914
1doh_2	-324.0969	-505.104	-143.596	3439.32	-79.4801
3uve_4	-250.5352	-468.48	-125.479	2815.94	-31.3602
1bdb_2	-341.2938816	-890.815	-132.772	3561.14	-30.4173
1xkq_3	-221.1371	-429.99	-116.029	2941.59	-19.1101
2bgm_1	-338.5273	-494.997	-147.46	3479.09	-92.0679
1spx_2	-167.0011494	-279.857	-106.598	2489.26	-4.5055
4hbg_1	-264.50245	-421.418	-143.992	3233.11	-37.8637
1xhl_1	-210.6353	-402.572	-112.846	2818.19	-17.2749
3s55_2	-267.6997278	-190.196	-142.844	3268.85	-86.8184
4fc7_4	-309.5929	-324.382	-153.021	3265.02	-91.6955
3sx2_8	-192.0836973	-315.837	-113.636	2446.18	-15.3022
4k6c_1	-317.5973	-659.202	-144.489	3197.5	-41.2679
1ja9_1	-302.0886	-219.883	-153.577	3187.33	-104.535
3pgx_1	-358.222	-596.758	-163.605	3434.89	-75.2654
1yb1_1	-331.4752313	-598.82	-144.654	3608.29	-67.0978
1ae1_3	-182.0059952	-243.142	-122.174	2859.02	-11.2413
3tsc_2	-266.9378	-224.206	-158.98	3469.32	-63.1166
3cxr_2	-308.6643901	-642.359	-151.108	3442.79	-29.1249
4lvu_2	-263.4228983	-278.185	-153.11	3498.37	-54.6781
3itd_1	-397.0839	-741.643	-162.01	3590.6	-86.7453
1yde_4	-258.9927	-610.207	-108.419	3384.24	-28.5323
3e03_2	-253.8078	-347.572	-112.201	3244.65	-72.0924
3rih_4	-208.19714	-360.327	-129.398	3108.23	-6.73374
1iy8_2	-305.7229	-725.466	-140.428	3161.08	-20.2017
3gdg_3	-297.1502	-603.782	-138.227	3450.13	-38.1668
2q45_2	-108.480175	-67.1699	-85.7707	2083.64	-9.4674
3lf1_3	-238.3772	-296.785	-110.799	2817.51	-68.2212
4nbr_2	-356.3167	-508.382	-165.423	3582.01	-89.2173
3ai2_5	-241.2731	-436.461	-123.271	2993.68	-30.7099
3ak4_4	-331.6302	-652.934	-143.929	3141.19	-57.1144
1h5q_12	-257.2882	-423.678	-127.9	2973.33	-44.6526
1zem_4	-293.316	-604.952	-150.132	3513.27	-22.1936
4egf_1	-242.6189	-374.339	-126.971	3286.15	-40.7801
3o38_4	-293.9484934	-717.364	-139.675	3404.52	-10.8019
1g6k_3	-237.5176	-257.012	-141.367	3196.86	-44.7482
1e3w_2	-308.2575805	-431.925	-179.405	3817.2	-42.5246
1x7h_1	-309.9434	-649.212	-134.532	3190.86	-45.569
1nas_1	-330.2151	-426.44	-162.002	4017.71	-82.9251
4hwk_2	-303.3692	-479.952	-161.112	3787.54	-46.2668
3vtz_2	-277.8650073	-483.218	-149.272	3375.13	-31.9997
2zat_4	-241.4713	-622.447	-106.328	3053.09	-10.6539
1x1t_1	-290.8388635	-470.089	-139.706	2991.27	-57.175
2z1n_1	-246.607353	-459.13	-129.369	3375.67	-25.4257
2qq5_1	-367.6465667	-472.767	-183.371	3597.79	-89.7315
2ae2_2	-180.2211	-190.941	-118.191	2855.46	-23.8419
2yz7_1	-261.0996	-270.064	-148.106	3104.39	-58.9808
1nfr_1	-296.3078	-447.122	-143.461	3373.31	-63.4224
4h15_4	-261.4884	-435.614	-109.147	2988.33	-65.2186
3sju_1	-343.8411	-770.521	-138.988	3223.6	-50.7489
3afn_2	-242.9382	-441.223	-126.473	3210.43	-28.2206
3a28_4	-272.3487	-268.413	-143.068	3252.29	-75.5981
4gkb_4	-288.838141	-521.216	-148.848	3309.78	-35.8226
3pk0_3	-241.1866	-310.696	-141.831	3048.13	-37.2164
3ppi_2	-273.9821295	-376.229	-171.097	3721.38	-27.6922
3awd_4	-250.3642	-434.294	-138.322	2987.86	-25.1834
4npc_3	-273.3098	-398.12	-140.471	3081.5	-53.2148
4nbw_1	-373.3169	-800.138	-159.275	3931.7	-54.0143
2d1y_2	-218.0710438	-497.082	-125.829	3309.55	7.15546
1k2w_1	-207.622	-145.518	-129.177	3108.79	-49.3414
1geg_4	-196.2712	-241.723	-122.966	3122.04	-24.9606
3gvc_2	-274.315137	-360.566	-146.996	3231.14	-55.3073
2pd6_2	-263.7938225	-543.205	-133.832	3290.39	-21.355
2b4q_3	-211.0291886	-193.191	-126.086	3317.09	-46.3173
1xg5_2	-280.2856735	-537.597	-133.664	3435.79	-39.1267
3tox_2	-272.0663522	-433.493	-155.517	3439.02	-29.8836
4ibo_3	-275.9902	-517.507	-125.041	3266.96	-47.4478
3gaf_4	-348.53	-269.42	-157.926	3222.79	-136.72
1ahh_2	-396.599	-579.735	-166.78	3556.37	-113.872
2q2w_1	-272.556764	-313.361	-132.808	3097.1	-77.0823
1vl8_1	-272.9291	-556.639	-140.017	3356.17	-21.5843
4gh5_1	-239.3133593	-295.238	-140.698	2883.97	-39.6629
4g81_1	-242.4607	-338.088	-137.816	3123.25	-37.0271
3r1i_2	-261.8283225	-369.725	-121.289	3258.36	-66.6168
4o5o_2	-277.5837234	-268.416	-183.944	3777.44	-39.9578
4dqx_1	-276.8235961	-584.247	-136.559	3156.7	-23.4968
2wsb_3	-307.4615	-546.432	-148.303	3232.13	-49.8721
4ixw_1	-291.6325	-662.305	-130.545	3637.59	-28.6265
3kzv_2	-231.0277875	-223.089	-101.532	2920.05	-84.9008
2dte_1	-366.408	-841.084	-149.976	3551.33	-48.2152
3imf_3	-271.4165227	-513.644	-125.958	3097.01	-42.7591
1hdc_1	-318.1917	-517.231	-147.899	3404.37	-66.8465
3tpc_4	-283.716966	-292.146	-171.484	3656.47	-53.9883
4j2h_1	-340.3412	-605.266	-144.496	3245.96	-74.792
4fn4_1	-325.1871	-535.372	-161.534	3375.65	-56.5787
3e9q_1	-251.7578	-305.728	-142.051	3010.67	-48.5612
1hxh_2	-261.6431	-490.216	-141.192	3484.03	-22.4079
3tl3_2	-180.206009	-287.915	-85.1426	2223.36	-38.1092
4jig_1	-292.998865	-697.796	-128.586	3484.02	-24.8795
4imr_2	-134.2215	-75.3115	-85.6426	2497.03	-33.5166
3icc_1	-274.0496	-420.046	-136.93	3267.18	-53.1104
2nwq_1	-357.778843	-762.522	-167.611	4014.3	-37.8193
3n74_2	-266.2931229	-502.822	-126.066	3298.68	-39.6833
4kwi_2	-273.3456	-281.601	-145.955	3060.02	-71.0704
3vc7_1	-290.5021191	-497.978	-130.008	2891.2	-60.9084
1nxq_1	-293.0411	-654.395	-136.998	3340.98	-25.1641
3uf0_1	-292.7741	-555.822	-144.59	3136.48	-37.0197
2cfc_1	-289.7803	-457.376	-129.656	3228.01	-68.6491
2ewm_2	-353.6878122	-767.307	-149.554	3472.82	-50.6827
3ftp_1	-316.8661	-787.196	-140.763	3316	-18.6639
4i5d_2	-237.2624926	-437.372	-128.128	3224.41	-21.6989
4dmm_2	-271.8995659	-445.581	-140.528	3124.6	-42.259
4is3_1	-265.5951	-334.636	-161.832	3489.61	-36.8359
3qiv_1	-173.472822	-444.275	-73.0272	2548.47	-11.7092
4dyv_1	-293.0988915	-456.518	-134.996	3300.49	-66.807
4e3z_1	-221.8604642	-461.438	-111.947	3247.44	-17.6646
2p68_1	-310.9240898	-419.969	-163.887	3398.3	-63.0449
3asu_1	-333.398363	-722.795	-150.184	3568.01	-38.6739
3edm_2	-298.3592785	-557.924	-130.178	3120.73	-56.6161
3ezl_1	-324.1151	-495.734	-152.776	3121.4	-72.1923
2fwm_1	-200.6797544	-288.756	-105.487	2841.91	-37.4714
3gk3_2	-336.910562	-693.969	-143.3	3431.31	-54.9634
4mow_1	-256.5430986	-501.56	-120.434	3070.42	-35.8583
3v2g_2	-279.0614	-484.847	-121.193	3299.36	-60.899
2jap_2	-281.469	-583.771	-123.934	3422.46	-40.7808
3ged_3	-263.0075027	-206.371	-167.292	3377.62	-54.4896
2hq1_2	-113.006664	-173.849	-51.4822	1477.41	-26.904
1sny_1	-252.2661	-342.538	-151.189	3653.17	-32.5695
3lyl_2	-302.9904341	-487.526	-156.705	3170.03	-48.8137
3nug_4	-332.176	-514.414	-153.126	3461.24	-76.1672
4iin_3	-267.1402031	-467.085	-146.1	3195.73	-27.6271
4jro_2	-284.2854157	-659.993	-138.644	3382.3	-13.6902
4hp8_2	-338.1633	-610.331	-150.694	3133.6	-65.4031
4iqg_1	-303.329368	-527.601	-154.863	3584.34	-42.9476
1uzn_1	-291.3216	-524.598	-160.861	3572.1	-25.541
3i1j_1	-324.7057612	-699.551	-148.023	3530.63	-36.7752
2uvd_3	-296.5989	-672.566	-135.54	3331.11	-26.5457
4nbv_1	-301.5471	-566.871	-127.928	3184.33	-60.2449
3osu_1	-264.4815001	-492.92	-135.038	3364.56	-30.861
4ni5_1	-253.40089	-505.546	-145.231	3385.76	-7.33853
3enn_3	-350.3050812	-816.925	-136.474	3317.69	-50.4512
2ph3_1	-297.8120208	-538.052	-154.286	3258.34	-35.9772
1uls_2	-280.6189	-337.796	-157.366	3508.74	-55.6937
2ag5_1	-317.7453	-743.139	-135.961	3400.23	-33.1565
1q7b_2	-292.2229406	-655.136	-141.693	3378.79	-19.518
2bd0_1	-291.6104	-426.513	-139.924	3314.9	-66.3838
1cyd_2	-311.7811	-306.778	-154.514	3499.62	-95.9115
1pr9_2	-297.0975	-458.504	-141.2	3512.19	-64.1967
1edo_1	-264.6041	-358.039	-147.64	3199.42	-45.3563
1dhr_1	-326.119	-235.848	-187.148	3843.25	-91.8014
1zmo_4	-184.969	-347.19	-83.2126	2987.9	-32.3184
3u5t_3	-297.1505578	-745.952	-114.517	3031.68	-33.4723
4iiu_2	-312.8781658	-499.003	-163.438	3364.3	-49.6492
4nbu_2	-252.5166	-335.958	-127.42	3097.82	-57.905
3uxy_2	-235.4952	-399.827	-123.516	3066.19	-32.0138
3h7a_2	-302.9186529	-432.499	-153.11	3286.48	-63.3849
3f9i_2	-188.2039544	-457.961	-68.4283	1956.02	-28.1921
4b79_2	-197.26379	-346.061	-104.075	2718.61	-23.9796
4e4y_1	-245.8706	-351.558	-133.811	3379.63	-41.748
4kms_1	-252.8065826	-300.965	-133.396	2867.49	-59.2973
3tfo_1	-269.3780674	-634.725	-105.558	3182.55	-36.9579
4nbt_2	-276.7559	-616.929	-131.986	3355.91	-21.3841
1x1e_2	-257.3766	-431.764	-125.28	3037.17	-45.7438
3p19_2	-210.0155159	-439.035	-105.204	3071.25	-17.028
3rkr_2	-278.4459516	-390.421	-147.31	3220.61	-53.1191
3nyw_2	-232.5389366	-284.461	-107.02	2476.28	-68.6719
3un1_1	-292.7288	-328.774	-140.386	3493.22	-86.588
1ooe_1	-219.5004	-170.31	-148.246	3197.42	-37.1924
3gem_2	-211.9854915	-226.474	-107.342	2643.68	-59.3675
3e9n_4	-136.476048	-151.899	-81.7968	1938.04	-24.4674
2nm0_3	-167.873761	-369.267	-80.184	2092.48	-14.0555
2ehd_1	-326.2578886	-532.796	-160.728	3291.27	-59.0545
3l77_1	-282.3832	-470.184	-134.66	3225.18	-53.6864
3orf_2	-260.9085	-381.824	-146.455	3405.96	-38.0887
3l6e_3	-140.0421737	-96.0224	-84.6396	2263.45	-36.2696
3guy_1	-267.4740002	-325.251	-145.452	3175.05	-56.9786
2yut_1	-206.7003082	-325.068	-117.935	2996.25	-23.7718
3d7l_4	-211.7178	-292.076	-121.841	3129.05	-31.4616
1vrw_3	-226.792598	-511.338	-117.845	3159.98	-6.709
1uh5_3	-228.300545	-497.814	-135.581	3262.5	6.8327
3f4b_4	-202.529	-328.486	-117.288	2975.67	-19.5438
1d7o_1	-235.9646	-229.96	-151.514	3695.83	-38.4586
1e92_3	-238.331498	-318.624	-125.837	3215.68	-48.9877
1mxh_3	-192.431342	-48.7891	-121.183	2866.27	-61.6754
2pd4_3	-225.4624	-143.09	-146.229	3328.77	-50.6154
3k2e_2	-174.8394843	-221.296	-132.317	2926.52	1.71856
3grk_5	-181.3058264	-209.799	-140.666	2928.8	1.2404
2p91_3	-220.5658539	-154.152	-118.495	2736.72	-8.96527
1eny_2	-199.4547	-213.738	-126.1	3167.14	-30.6071
3ek2_4	-154.7672373	-70.9302	-109.685	2697.18	-30.934
1dfi_4	-148.6727614	-60.6725	-117.334	2592.81	-19.2575
1ulu_4	-212.2525216	-124.591	-166.613	3638.85	-20.762
4m86_2	-145.1014822	-75.2208	-109.999	2651.52	-20.1176
3nrc_2	-170.4024	-144.976	-120.346	2738.37	-21.0612
3ucx_1	-173.14626	-149.943	-133.342	2764.35	-9.81566
3oig_2	-170.53374	-216.069	-128.432	2999.92	1.11206
1fk8_1	-332.7984188	-186.09	-193.357	4024.29	-102.23
3gr6_3	-164.90342	-181.909	-127.078	3003.68	-1.44362
2qio_3	-202.7283	-237.734	-139.954	3012.12	-15.2275
1px0_3	-239.5768	-234.464	-158.474	3000.14	-34.21
3i4f_4	-203.1732683	-506.31	-88.4784	2543.22	-13.5016
3oic_2	-196.5280604	-192.011	-118.401	3103.19	-39.7458
4fgs_4	-221.5299912	-263.858	-134.473	2985.52	-34.2978
3uce_4	-203.3689	-190.24	-129.93	2784.14	-35.3909
1vrw_1	-278.9280911	-503.369	-123.904	3338.87	-54.3813
1uh5_1	-250.3741679	-465.822	-133.552	3434.13	-23.6739
3f4b_1	-270.54	-671.571	-121.508	3516.04	-14.7178
1d7o_2	-287.5922	-717.881	-115.237	3411.16	-28.779
1e7w_1	-251.891991	-381.274	-134.478	3711.55	-41.2758
1mxh_2	-253.708299	-406.277	-133.731	3588.22	-38.88
2pd4_1	-335.9645	-591.987	-141.727	3486.58	-75.8401
3k2e_1	-287.6531732	-391.193	-134.062	3052.41	-22.0883
3grk_4	-286.7537142	-501.243	-146.625	3210.06	-39.885
2p91_2	-328.8956918	-614.598	-150.985	3419.43	-55.0128
1eny_1	-288.1031	-284.793	-138.204	3074.7	-92.9405
